concept,variant_or_exact_phrase,frequency,appears_in_courses,appears_in_sections,example_course_uid,example_text_exact,notes
författningar,författningar,90,MVA308_v01;MVG201_v01;MVG501_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA135_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG514_v01;OMG516_v01;OMG517_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA041_v01,"3. analysera genomförda omvårdnadsåtgärder vid vård i livets slutskede samt reflektera över och presentera ett familjefokuserat arbetssätt i nämnd vårdsituation med stöd av litteratur och forskning inom området 4, analysera, diskutera och reflektera över lagar och författningar inom distriktssköterskans yrkesroll inklusive delegering",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
vfu,vfu,78,MVG201_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA071_v01;OMA081_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;examination;learning_outcomes;modules;other;teaching_and_learning,OMA071_v01,"Övriga föreskrifter —— För information om kriterier för de olika betygsgraderna hänvisas till studiehandledning. Kursen ingår som obligatorisk kurs i specialistsjuksköterskeprogrammet - inriktning anestesisjukvård, 60 hp. Examinator har möjlighet att besluta om anpassad eller alternativ examination för studenter med dokumenterad funktionsnedsättning. Bogränsningar För att få påbörja den första verksamhetsförlagda utbildningen (VFU 1) ska momenten 0001, 0002, 0003 vara godkända. För studenter som ej nyttjat eller underkänts vid ordinarie examinationstillfälle ges möjlighet till ytterligare fyra examinationstillfällen. Ett ordinarie examinationstillfälle och två ytterligare examinationstillfällen ges i anslutning till kursens Mis:ledu nig selocs/svsykabuabourse/OMADT 1 Tvakd-tom=2025-01-20 a",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
primärvård,primärvård,74,OMA041_v01;OMA042_v01;OMG402_v01;OMG517_v01,course_content;examination;learning_outcomes;metadata;modules;teaching_and_learning,OMA041_v01,7. visa förmåga att medverka vid och självständ; och behandlingar inom primärvård tföra undersökningar,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
hemsjukvård,hemsjukvård,71,OMA041_v01;OMA135_v01;OMG403_v01;OMG551_v01,course_content;examination;learning_outcomes;metadata;modules;teaching_and_learning,OMA041_v01,5. visa självständigt och I samverkan med patient och närstående identifiera och kommunicera vårdbehov och upprätta omvårdnadsplan inom hemsjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
verksamhetsförlagd utbildning,verksamhetsförlagd utbildning,68,MVG201_v01;OMA041_v01;OMA042_v01;OMA043_v01;OMA071_v01;OMA081_v01;OMA405_v01;OMA406_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;entry_requirements;examination;learning_outcomes;modules;other;teaching_and_learning,OMA071_v01,"--- OCR page 3 --- + medicinsk teknik, gas- och ellära + anestesisjuksköterskans kompetens- och ansvarsområde + personcentrerad omvårdnad under den perioperativa vården + omhändertagande vid akuta tillstånd/sjukdomar + vårdhygien, vårdrelaterade infektioner och antibiotikaresistens + klinisk färdighetsträning i A-E och luftvägshantering + etiologi, patofysiologi, diagnostik och behandling vid specifika sjukdomstillstånd + specifik farmakologi + vätske, blod- och elektrolytbalans + kommunikation, information och undervisning + mänskliga rättigheter relaterat till FN:s allmänna förklaring + samverka och samarbeta i vårdteamet + fältstudie inom anestesisjukvård + verksamhetsförlagd utbildning inom anestesivård",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
kommunikation,kommunikation,54,MVG201_v01;OMA042_v01;OMA071_v01;OMA081_v01;OMA136_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG516_v01;OMG518_v01;OMG520_v01;OMG551_v01;OMG805_v01,course_content;learning_outcomes;metadata,OMA071_v01,"17. beskriva och bedöma möjligheter och hinder för god kommunikation med patienter och närstående, reflektera över hur detta kan påverka patienter och närstående utifrån FN:s allmänna förklaring om mänskliga rättigheter",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
barn,barn,51,MVA309_v01;MVG201_v01;MVG501_v01;OMA043_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG515_v01;OMG551_v01,course_content;entry_requirements;learning_outcomes;metadata;other,MVA309_v01,"1. förklara farmakologiska begrepp och principer samt farmakokinetiska farmakodynamiska processer I allmänhet och I relation till gravidit amning, barn och äldre",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
läkemedel,läkemedel,48,MVA308_v01;MVA309_v01;MVG201_v01;MVG501_v01;OMA071_v01;OMA081_v01;OMG401_v01;OMG402_v01;OMG403_v01;OMG518_v01;OMG520_v01;OMG551_v01,course_content;learning_outcomes,OMA071_v01,3. förklara verkningsmekanismer och biverkningar avseende vanligt förekommande läkemedel som används inom anestesisjukvård,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
etiska,etiska,47,MVG201_v01;OMA040_v01;OMA041_v01;OMA070_v01;OMA080_v01;OMA131_v01;OMA133_v01;OMA135_v01;OMA405_v01;OMA406_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG402_v01;OMG403_v01;OMG516_v01;OMG551_v01,course_content;learning_outcomes,OMA070_v01,3. argumentera för etiska aspekter i relation till forsknings- och forskaretik,Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
examensarbete,examensarbete,46,OMA708_v01;OMA709_v01;OMA716_v01;OMA717_v01;OMG805_v01,course_content;entry_requirements;examination;learning_outcomes;metadata;other,OMA717_v01,"--- OCR page 1 --- Akademin för hälsa och arbetsliv KURSPLAN Faculty of Health and Occupational Studies HÖGSKOLAN I GÄVLE Examensarbete inom anestesisjuksköterskans kunskapsområde 13.0 hp Thesis in Nursing Anaesthetics on advanced level 15.0 cr Fastställd av: Akademi för hälsa och arbetsliv, 2023-10-23 Giltig från och med: 2025-01-20 utbildningsnivå Avancerad nivå Kurskod OMATI7 Omfattning 15.0 hp Huvudområde Omvårdnad AlE Ämnesgrupp Omvårdnad/omvårdnadsvetenskap Utbildningsområde Vårdområdet 100 36",Empiriskt begrepp: frasen förekommer i text_exact. Ej synonymordbok.
