section_unit_uid,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,section,original_section_heading,subsection,unit_type,unit_order,text_exact,text_normalized,source_file,confidence,notes
OMA071_v01_SECTION_0001,OMA071_SECTION_0001,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,metadata,missing,missing,text_unit,1,"--- OCR page 1 --- Akademin för hälsa och arbetsliv KURSPLAN Faculty of Health and Occupational Studies HÖGSKOLAN I GÄVLE Avancerad omvårdnad med inriktning mot anestesisjukvård I 22.5 hp Advanced Specialist Nursing in Anaesthetics I 22.5 cr Fastställd av: Akademi för hälsa och arbetsliv, 2023-12-14 Giltig från och med: 2025-01-20 utbildningsnivå Avancerad nivå Kurskod OMAO7I Omfattning 22.5 hp Huvudområde Omvårdnad AIN Ämnesgrupp Omvårdnad/omvårdnadsvetenskap Utbildningsområde Vårdområdet 55 96 Medicinska området 45 96","--- OCR page 1 --- Akademin för hälsa och arbetsliv KURSPLAN Faculty of Health and Occupational Studies HÖGSKOLAN I GÄVLE Avancerad omvårdnad med inriktning mot anestesisjukvård I 22.5 hp Advanced Specialist Nursing in Anaesthetics I 22.5 cr Fastställd av: Akademi för hälsa och arbetsliv, 2023-12-14 Giltig från och med: 2025-01-20 utbildningsnivå Avancerad nivå Kurskod OMAO7I Omfattning 22.5 hp Huvudområde Omvårdnad AIN Ämnesgrupp Omvårdnad/omvårdnadsvetenskap Utbildningsområde Vårdområdet 55 96 Medicinska området 45 96",Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0002,OMA071_SECTION_0002,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,2,Mål Efter avslutad kurs ska studenten med inriktning mot anestesisjukvård,Mål Efter avslutad kurs ska studenten med inriktning mot anestesisjukvård,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0003,OMA071_SECTION_0003,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,3,Kunskap och förståelse,Kunskap och förståelse,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0004,OMA071_SECTION_0004,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,4,1. identifiera och förklara hur svikt i olika organsystem och individuella faktorer kan påverka de normala vitala fysiologiska funktionerna,1. identifiera och förklara hur svikt i olika organsystem och individuella faktorer kan påverka de normala vitala fysiologiska funktionerna,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0005,OMA071_SECTION_0005,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,5,2. förklara begreppen farmakokinetik och farmakodynamik,2. förklara begreppen farmakokinetik och farmakodynamik,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0006,OMA071_SECTION_0006,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,6,3. förklara verkningsmekanismer och biverkningar avseende vanligt förekommande läkemedel som används inom anestesisjukvård,3. förklara verkningsmekanismer och biverkningar avseende vanligt förekommande läkemedel som används inom anestesisjukvård,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0007,OMA071_SECTION_0007,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,7,"4. redogöra för etiologi och patofysiologi vid specifika sjukdomstillstånd och organsvikt samt motivera val av anestesimetod, övervakning och Mis:ledu nig selocs/svsykabuabourse/OMADT 1 Tvakd-tom=2025-01-20","4. redogöra för etiologi och patofysiologi vid specifika sjukdomstillstånd och organsvikt samt motivera val av anestesimetod, övervakning och Mis:ledu nig selocs/svsykabuabourse/OMADT 1 Tvakd-tom=2025-01-20",Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0008,OMA071_SECTION_0008,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,8,--- OCR page 2 --- medicinska behandlingsåtgärder utifrån ett fysiologiskt och patofysiologiskt perspektiv,--- OCR page 2 --- medicinska behandlingsåtgärder utifrån ett fysiologiskt och patofysiologiskt perspektiv,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0009,OMA071_SECTION_0009,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,9,"5. redogöra för specifik farmakologi av vanligt förekommande läkemedel nom anestesisjukvård, motivera val av dessa utifrån ett fysiologiskt och patofysiologiskt perspektiv samt utvärdera dess effekter","5. redogöra för specifik farmakologi av vanligt förekommande läkemedel nom anestesisjukvård, motivera val av dessa utifrån ett fysiologiskt och patofysiologiskt perspektiv samt utvärdera dess effekter",Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0010,OMA071_SECTION_0010,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,10,"6. förklara kroppens metabolism och de vätske, blod- och elektrolytrubbningar som uppstår vid akuta sjukdomstillstånd, beskriva val av behandling och föreslå hur givna behandlingar och omvårdnadsåtgärder utvärderas","6. förklara kroppens metabolism och de vätske, blod- och elektrolytrubbningar som uppstår vid akuta sjukdomstillstånd, beskriva val av behandling och föreslå hur givna behandlingar och omvårdnadsåtgärder utvärderas",Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0011,OMA071_SECTION_0011,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,11,Färdighet och förmåga,Färdighet och förmåga,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_SECTION_0012,OMA071_SECTION_0012,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,learning_outcomes,Värdering och förhållningssätt,Värdering och förhållningssätt,text_unit,12,7. utföra korrekt läkemedelsberäkning samt värdera rimlighet i den beräknade dosen,7. utföra korrekt läkemedelsberäkning samt värdera rimlighet i den beräknade dosen,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
