course_family_id,course_uid,course_version,is_current,version_status,replaces_course_uid,superseded_by_course_uid,source_file,source_file_hash_if_available,program,education_level,course_code,course_name_sv,course_name_en,credits_hp,main_field,progression,cycle,semester_or_year_if_stated,syllabus_valid_from,decision_date,revision_date,language,department_or_faculty,status,notes
MVG501,MVG501_v01,1,yes,baseline_initial_import,none,none,Kurs1_kusk_MVG501.pdf,af33867c91e8aab0b7c93a17667e024878ccc0774470986b720d0444c325a924,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,MVG501,"Mikrobiologi, farmakologi och läkemedelsberäkning","Microbiology, pharmacology and drug calculation",6.0,Medicinsk vetenskap,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG514,OMG514_v01,1,yes,baseline_initial_import,none,none,Kurs2_kusk_OMG514.pdf,13c092bd4c930402f2b9bf0e68e4adee072fc021291a242a27404b4c218e894f,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG514,Omvårdnad som vetenskap och sjuksköterskans arbetsområde inom svensk hälso- och sjukvård,Nursing science and the nursing profession in Swedish healthcare,6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG515,OMG515_v01,1,yes,baseline_initial_import,none,none,Kurs3_kusk_OMG515.pdf,91a38f3425013ef1f0c333c2d49f4e22d5823b35a37d93ab6bc4bfd50dc07504,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG515,Vård och omvårdnad vid ohälsa och sjukdom I,Nursing care in illness and disease I,6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG516,OMG516_v01,1,yes,baseline_initial_import,none,none,Kurs5_kusk_OMG516.pdf,8a64cf9184f114d09e1eedcbca326e1276697d509bfaa0ee500263ee09e629be,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG516,"Etik, kommunikation samt klinisk färdighetsträning","Ethics, communication and clinical skills training",6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG517,OMG517_v01,1,yes,baseline_initial_import,none,none,Kurs4_kusk_OMG517.pdf,cd92e0b6b895b1b1546f34230a810d0efff693c9c912af6c847980044b65de23,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG517,Klinisk utbildning inom primärvård och psykiatri,Clinical education - primary health care and psychiatry,6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG518,OMG518_v01,1,yes,baseline_initial_import,none,none,Kurs7_kusk_OMG518.pdf,98ba49ba45d328ccd5bd9176a64311523dc80c93e3b3932277e6fc48f5995916,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG518,Klinisk utbildning inom kommunal vård och omsorg,Clinical education - municipal health care,6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG519,OMG519_v01,1,yes,baseline_initial_import,none,none,Kurs6_kusk_OMG519.pdf,69101364ae3ce7f51f2de5408888ec0e5e44745d6fdfe8ac623fbc9211608bae,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG519,Vård och omvårdnad vid ohälsa och sjukdom II,Nursing care in illness and disease II,6.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMG520,OMG520_v01,1,yes,baseline_initial_import,none,none,Kurs8_kusk_OMG520.pdf,6202e0ad55dc691e919d6c98805b52e924b3d42ee2fda0a2c3994d6507542755,Kompletterande utbildning för sjuksköterskor med utländsk examen från land utanför EU/EES och Schweiz,Grundnivå,OMG520,Klinisk utbildning med fokus på komplexa omvårdnadsbehov,Clinical training with a focus on complex caring needs,18.0,Omvårdnad,G2F,first,missing,2023-01-16,2022-05-02,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
MVG201,MVG201_v01,1,yes,baseline_initial_import,none,none,Kurs1_sskgrund_MVG201.pdf,b606d2e373d9eadc0b8d2402f57e254d85d8d41457f73934c79fb9b3cdfeb572,Sjuksköterskeprogrammet,Grundnivå,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,"Introduction to nursing as professional field and science, and physiology and anatomy part I",30.0,Omvårdnad; Medicinsk vetenskap,G1N,first,missing,2024-09-02,2023-12-19,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=pdf_text_extraction_cached; extraction_confidence=high
OMG401,OMG401_v01,1,yes,baseline_initial_import,none,none,Kurs2_sskgrund_OMG401.pdf,05074073e721654c2150d50a735dbc11c8c67e29fff645535e5783dbc8d8eda4,Sjuksköterskeprogrammet,Grundnivå,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,Nursing care in relation to common diseases and physiology and anatomy II,30.0,Omvårdnad,G1F,first,missing,2026-01-19,2025-10-16,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=pdf_text_extraction_cached; extraction_confidence=high
