exam_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,module_code_if_stated,module_name_if_stated,credits_hp_if_stated,exam_order,examination_text_exact,examination_category,individual_or_group,written_or_oral_or_practical_or_clinical,mandatory_or_optional,grading_scale_if_stated,related_learning_outcomes_if_stated,source_file,confidence,notes
OMA071_v01_EXAM_001,OMA071_EXAM_001,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0001,"Tentamen, individuell (lärandemål 1) hp VG",missing,1,"Tentamen, individuell (lärandemål 1) hp VG",written_exam,individual,written,mandatory_if_course_completion,missing,1,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_002,OMA071_EXAM_002,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0002,"Muntlig examination, individuell (lärandemål 2, 3) 4 ue",missing,2,"Muntlig examination, individuell (lärandemål 2, 3) 4 ue",oral_individual,individual,oral,mandatory_if_course_completion,missing,"2, 3",Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_003,OMA071_EXAM_003,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0003,"Tentamen, individuell (lärandemål 7), hp VG",missing,3,"Tentamen, individuell (lärandemål 7), hp VG",written_exam,individual,written,mandatory_if_course_completion,missing,7,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_004,OMA071_EXAM_004,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0004,"Seminarium, individuell bedömning (lärandemål 8) 4 ue",missing,4,"Seminarium, individuell bedömning (lärandemål 8) 4 ue",seminar,individual,not_stated,mandatory_if_course_completion,missing,8,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_005,OMA071_EXAM_005,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0005,"Klinisk examination, individuell (lärandemål 8) ho",missing,5,"Klinisk examination, individuell (lärandemål 8) ho",clinical_examination,individual,clinical/practical,mandatory_if_course_completion,UG,8,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_006,OMA071_EXAM_006,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0006,"Tentamen, individuell (lärandemål 4, 5, 6) fp W",missing,6,"Tentamen, individuell (lärandemål 4, 5, 6) fp W",written_exam,individual,written,mandatory_if_course_completion,missing,"4, 5, 6",Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_007,OMA071_EXAM_007,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0007,"Seminarium, individuell bedömning (lärandemål 10) 4 ue",missing,7,"Seminarium, individuell bedömning (lärandemål 10) 4 ue",seminar,individual,not_stated,mandatory_if_course_completion,missing,10,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_008,OMA071_EXAM_008,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,9008,bedömning (lärandemål 17) np WW,missing,8,bedömning (lärandemål 17) np WW,other,not_stated,not_stated,mandatory_if_course_completion,missing,17,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_009,OMA071_EXAM_009,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,9009,bedömning (lärandemål 11) hp WW,missing,9,bedömning (lärandemål 11) hp WW,other,not_stated,not_stated,mandatory_if_course_completion,missing,11,Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
OMA071_v01_EXAM_010,OMA071_EXAM_010,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,0010,"fastställda kriterier och lärandemål, muntlig hm",missing,10,"fastställda kriterier och lärandemål, muntlig hm",unclear,not_stated,oral,mandatory_if_course_completion,UG,",",Kurs1_Anestesi_OMA071.pdf,medium,module-derived examination; extraction_method=ocr_swe_70dpi_cached
