outcome_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,outcome_order,outcome_category_if_stated,text_exact,verb_or_action,knowledge_area_candidate,source_file,confidence,notes
OMA071_v01_LO_001,OMA071_LO_001,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,1,Kunskap och förståelse,identifiera och förklara hur svikt i olika organsystem och individuella faktorer kan påverka de normala vitala fysiologiska funktionerna,identifiera,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_002,OMA071_LO_002,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,2,Kunskap och förståelse,förklara begreppen farmakokinetik och farmakodynamik,förklara,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_003,OMA071_LO_003,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,3,Kunskap och förståelse,förklara verkningsmekanismer och biverkningar avseende vanligt förekommande läkemedel som används inom anestesisjukvård,förklara,läkemedel/farmakologi,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_004,OMA071_LO_004,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,4,Kunskap och förståelse,"redogöra för etiologi och patofysiologi vid specifika sjukdomstillstånd och organsvikt samt motivera val av anestesimetod, övervakning och Mis:ledu nig selocs/svsykabuabourse/OMADT 1 Tvakd-tom=2025-01-20 --- OCR page 2 --- medicinska behandlingsåtgärder utifrån ett fysiologiskt och patofysiologiskt perspektiv",redogöra,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_005,OMA071_LO_005,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,5,Kunskap och förståelse,"redogöra för specifik farmakologi av vanligt förekommande läkemedel nom anestesisjukvård, motivera val av dessa utifrån ett fysiologiskt och patofysiologiskt perspektiv samt utvärdera dess effekter",redogöra,läkemedel/farmakologi,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_006,OMA071_LO_006,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,6,Färdighet och förmåga,"förklara kroppens metabolism och de vätske, blod- och elektrolytrubbningar som uppstår vid akuta sjukdomstillstånd, beskriva val av behandling och föreslå hur givna behandlingar och omvårdnadsåtgärder utvärderas",förklara,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_007,OMA071_LO_007,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,7,Färdighet och förmåga,utföra korrekt läkemedelsberäkning samt värdera rimlighet i den beräknade dosen,utföra,läkemedel/farmakologi,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_008,OMA071_LO_008,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,8,Färdighet och förmåga,förklara och tillämpa personcentrerad vård utifrån anestesisjuksköterskans kompetensbeskrivning och kärnkompetenser,förklara,personcentrerad vård,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_009,OMA071_LO_009,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,9,Färdighet och förmåga,"utifrån ett kliniskt resonemang identifiera och värdera förändringar vid övervakning av vitala parametrar och prioritera, förstå, motivera samt utvärdera genomförda omvårdnadsåtgärder vid akuta tillstånd/sjukdomar",utifrån,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_010,OMA071_LO_010,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,10,Färdighet och förmåga,förklara vårdhygieniska principers betydelse samt tillämpa ett vårdhygieniskt arbetssätt i syfte att förebygga uppkomsten av vårdrelaterade infektioner vid vård av patienter inom anestesisjukvård,förklara,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_011,OMA071_LO_011,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,1,Färdighet och förmåga,visa vårdpedagogisk förmåga vid information och undervisning till patienter och närstående inom anestesisjuksköterskans ansvarsområde,visa,undervisning/vårdpedagogik,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_012,OMA071_LO_012,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,12,Färdighet och förmåga,"med viss grad av självständighet tillämpa principer för bedömning och analys av patienters omvårdnadsbehov, planera och genomföra omvårdnadsåtgärder och medicinsk behandling samt utvärdera och dokumentera effekterna av genomförda åtgärder",med,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_013,OMA071_LO_013,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,13,Färdighet och förmåga,med viss grad av självständighet på ett patientsäkert sätt använda medicinteknisk utrustning,med,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_014,OMA071_LO_014,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,14,Färdighet och förmåga,"med viss grad av självständighet övervaka, identifiera och bedöma tecken på svikt av vitala funktioner samt utifrån ett kliniskt resonemang visa förmåga till handlingsberedskap i akuta situationer",med,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_015,OMA071_LO_015,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,15,Färdighet och förmåga,med viss grad av självständighet leda och planera omvårdnadsarbetet i samarbete med övriga i vårdteamet,med,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_016,OMA071_LO_016,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,16,Värdering och förhållningssätt,med viss grad av självständigt utföra undersökningar och behandlingar,med,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_017,OMA071_LO_017,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,17,Värdering och förhållningssätt,"beskriva och bedöma möjligheter och hinder för god kommunikation med patienter och närstående, reflektera över hur detta kan påverka patienter och närstående utifrån FN:s allmänna förklaring om mänskliga rättigheter",beskriva,mänskliga rättigheter; kommunikation,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_LO_018,OMA071_LO_018,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,18,Värdering och förhållningssätt,reflektera över och identifiera egna fortsatta utvecklingsbehov,reflektera,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA070_v01_LO_001,OMA070_LO_001,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,1,Kunskap och förståelse,"förklara de kunskapsteoretiska grunderna för olika forskningsansatser, designer och datainsamlingsmetoder",förklara,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_002,OMA070_LO_002,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,2,Kunskap och förståelse,"argumentera för val av datainsamlingsmetod, urval och dess relevans för olika forskningsproblem",argumentera,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_003,OMA070_LO_003,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,3,Färdighet och förmåga,argumentera för etiska aspekter i relation till forsknings- och forskaretik,argumentera,etik; forskaretik,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_004,OMA070_LO_004,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,4,Färdighet och förmåga,tillämpa kvantitativa forskningsmetoder,tillämpa,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_005,OMA070_LO_005,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,5,Färdighet och förmåga,tillämpa kvalitativa forskningsmetoder,tillämpa,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_006,OMA070_LO_006,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,6,Färdighet och förmåga,"systematiskt söka, kvalitetsgranska och värdera vetenskapliga publicerade studier",systematiskt,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_007,OMA070_LO_007,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,7,Färdighet och förmåga,"identifiera, formulera och problematisera ett forskningsproblem inom huvudområdet",identifiera,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_008,OMA070_LO_008,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,8,Färdighet och förmåga,"skriftligt utforma och muntligt försvara en projektplan med adekvat design, metoder för datainsamling och -analys",skriftligt,projektplan,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_009,OMA070_LO_009,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,9,Färdighet och förmåga,identifiera forskningsetiska överväganden av relevans för en planerad studie och formulera en forskningsetisk ansökan som inkluderar forskningspersonsinformation,identifiera,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_010,OMA070_LO_010,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,10,Värderingsförmåga och förhållningssätt,tillämpa förvärvade kunskaper om vetenskapsteori och vetenskapsmetodik genom en kritisk granskning av en projektplan.,tillämpa,projektplan,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_011,OMA070_LO_011,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,11,Värderingsförmåga och förhållningssätt,värdera forskningsetiska aspekter i relation till vetenskaplig nytta (PM),värdera,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_012,OMA070_LO_012,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,12,Värderingsförmåga och förhållningssätt,reflektera över olika forskningsmetoders styrkor och svagheter (PM),reflektera,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_LO_013,OMA070_LO_013,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,13,Värderingsförmåga och förhållningssätt,reflektera över aktuell omvårdnadsvetenskaplig forskning avseende relevans och tillämpning genom författande av en projektplan (PM),reflektera,projektplan,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_001,OMA406_LO_001,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,1,Kunskap och förståelse,"integrera kunskap gällande etiologi, patofysiologi och diagnostik hos patienter med specifika sjukdomstillstånd inom anestesisjukvård, och utifrån detta motivera val av övervakning, och medicinska behandlingsåtgärder",integrera,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_002,OMA406_LO_002,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,2,Kunskap och förståelse,"redogöra för räddningsorganisation, samverkan, principer för prioritering, omhändertagande av skadade och utvärdering av katastrofarbete samt reflektera över anestesisjuksköterskans roll i samband med större olyckor, katastrofer och särskilda händelser",redogöra,team/samverkan,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_003,OMA406_LO_003,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,3,Kunskap och förståelse,utifrån vetenskaplig litteratur redogöra för och analysera kommunikativa processer utifrån olika ledarperspektiv,utifrån,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_004,OMA406_LO_004,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,4,Kunskap och förståelse,"beskriva kris- och stressreaktioner samt diskutera och reflektera över krishantering hos patienter, närstående och vårdpersonal i samband med akuta tillstånd, sjukdomar och trauma",beskriva,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_005,OMA406_LO_005,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,5,Färdigheter och förmåga,identifiera olika funktioner och aktiviteter för att ur ett organisatoriskt perspektiv uppnå god säkerhetskultur inom anestesisjukvård,identifiera,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_006,OMA406_LO_006,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,6,Färdigheter och förmåga,"självständigt utifrån omvårdnadsprocessen utforma en personcentrerad omvårdnadsplan, dokumentera och utvärdera genomförda omvårdnadsåtgärder inför och under operativa ingrepp, vid vård av kritiskt sjuka patienter för att möta lidande och främja välbefinnandet",självständigt,omvårdnadsprocessen; omvårdnadsplan,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_007,OMA406_LO_007,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,7,Färdigheter och förmåga,"självständigt identifiera, bedöma, prioritera, planera och hantera patienters komplexa behov av omvårdnad och medicinsk behandling samt visa förmåga till handlingsberedskap",självständigt,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_008,OMA406_LO_008,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,8,Värdering och förhållningssätt,"självständigt leda och planera omvårdnadsarbetet i samarbete med övriga i vårdteamet, medverka vid och utföra undersökningar och behandlingar",självständigt,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_009,OMA406_LO_009,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,9,Värdering och förhållningssätt,"med ett professionellt förhållningssätt, självständigt bemöta, kommunicera med och undervisa patienter och deras närstående",med,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_010,OMA406_LO_010,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,10,Värdering och förhållningssätt,"utifrån befintlig evidens beskriva och reflektera över patienters upplevelser, reaktioner och behov i en högteknologisk anestesiologisk vårdmiljö.",utifrån,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_011,OMA406_LO_011,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,11,Värdering och förhållningssätt,identifiera etiska dilemman inom anestesisjukvård och analysera dessa i relation till etiska principer,identifiera,etik,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_LO_012,OMA406_LO_012,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,12,Värdering och förhållningssätt,reflektera över och identifiera egna fortsatta utvecklingsbehov relaterat till den fortlöpande kompetensutvecklingen,reflektera,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA717_v01_LO_001,OMA717_LO_001,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,1,missing,"visa kunskap och förståelse inom huvudområdet för utbildningen, anestesisjuksköterskans kunskapsområde, inbegripet såväl överblick över området som fördjupade kunskaper inom valt problemområde samt insikt i aktuellt forsknings- och utvecklingsarbete",visa,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA717_v01_LO_002,OMA717_LO_002,baseline,OMA717,OMA717_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,2,Färdighet och förmåga,visa fördjupad metodkunskap inom huvudområdet för utbildningen,visa,missing,Kurs4_Anestesi_OMA717.pdf,medium,extraction_method=ocr_swe_70dpi_cached
