content_id,program_uid,education_plan_uid,course_code,course_name_sv,content_order,text_exact,source_file,confidence,notes
VGSSY_MVG201_CONTENT_001,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,1,mänskliga rättigheter,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_002,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,2,människosyn,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_003,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,3,värdegrund för omvårdnad,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_004,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,4,de fyra centrala principerna för medicinsk etik,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_005,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,5,"förhållningssätt, bemötande, empati och självkännedom",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_006,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,6,organisation av hälso- och sjukvård samt vård- och omsorg i,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_007,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,7,Sverige,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_008,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,8,MVG201,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_009,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,9,2/6,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_010,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,10,relevanta författningar,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_CONTENT_011,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,11,vad som utmärker ett vetenskapligt förhållningssätt samt en,Kurs1_sskgrund_MVG201.pdf,high,
