exam_id,exam_source,program_uid,education_plan_uid,course_code,course_name_sv,module_code_if_stated,module_name_if_stated,credits_hp_if_stated,exam_order,examination_text_exact,examination_category,grading_scale_if_stated,related_learning_outcomes_if_stated,source_file,confidence,notes
VGSSY_MVG201_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,1,"Klinisk färdighetsträning, individuell",practical_skills_assessment,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_02,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,2,"seminarium, individuell bedömning",seminar,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_03,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,3,"muntlig gruppresentation av uppgift, individuell bedömning",oral,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_04,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,4,"tentamen, individuell",written_exam,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_05,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,5,"skriftlig examination, grupp med individuell bedömning",written,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_06,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,6,"laboration, individuell",other,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_07,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,7,"klinisk examination, individuell",clinical_examination,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_MVG201_EXAM_SECTION_08,examination_section,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,not_applicable,not_applicable,not_applicable,8,"skriftlig examination, individuell. För examination av lärandemål 20-22 krävs närvaro under den verksamhetsförlagda utbildningen (VFU) i den utsträckning som anges i studiehandledningen. Som en del av kursens examinationer krävs aktivt deltagande i obligatoriska undervisningsaktiviteter i kursen. Med aktivt deltagande menas att studenten bidrar med arbete, inspel och/eller egna reflektioner med relevans för uppgiften. De obligatoriska undervisningsaktiviteterna är relaterade till lärandemål 7, 8, 10, 14 samt 17 och beskrivs i studiehandledningen. Samtliga examinationer och obligatoriska undervisningsaktiviteter ska vara godkända respektive genomförda för att kursen som helhet ska betraktas som godkänd.",vfu_assessment|written,course_level,missing,Kurs1_sskgrund_MVG201.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,1,"Seminarium, individuell bedömning",seminar,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_02,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,2,"skriftlig examination, individuell",written,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_03,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,3,"tentamen, individuell",written_exam,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_04,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,4,"muntlig presentation av gruppuppgift, individuell bedömning",oral,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_05,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,5,"skriftlig examination, grupp med individuell bedömning",written,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_06,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,6,individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång,vfu_assessment|oral,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG401_EXAM_SECTION_07,examination_section,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,not_applicable,not_applicable,not_applicable,7,"klinisk examination, individuell. Närvaro under VFU krävs i den utsträckning som anges i studiehandledningen. Som en del av kursens examinationer krävs aktivt deltagande i obligatoriska undervisningsaktiviteter i kursen. Med aktivt deltagande menas att studenten bidrar med arbete, inspel och/eller egna reflektioner med relevans för uppgiften. De obligatoriska undervisningsaktiviteterna är relaterade till lärandemål 3, 6-7, 14-20 samt 22-27 och beskrivs i studiehandledningen. Samtliga examinationer och obligatoriska undervisningsaktiviteter ska vara godkända respektive genomförda för att kursen som helhet ska betraktas som godkänd.",vfu_assessment|clinical_examination,course_level,missing,Kurs2_sskgrund_OMG401.pdf,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,1,"er Tentamen, individuell",written_exam,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_02,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,2,"skriftlig examination, grupp med individuell bedömning",written,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_03,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,3,"tentamen, individuell",written_exam,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_04,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,4,"seminarium, individuell bedömning",seminar,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_05,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,5,"klinisk färdighetsträning, individuell",practical_skills_assessment,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_06,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,6,"muntlig examination, individuell",oral,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG402_EXAM_SECTION_07,examination_section,VGSSY,VGSSY,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa",not_applicable,not_applicable,not_applicable,7,"individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång. Närvaro under VFU krävs i den utsträckning som anges i studiehandledningen. Som en del av kursens examinationer krävs aktivt deltagande i obligatoriska undervisningsaktiviteter i kursen. Med aktivt deltagande menas att studenten bidrar med arbete, inspel och/eller egna reflektioner med relevans för uppgiften. De obligatoriska undervisningsaktiviteterna är relaterade till lärandemål 3, 11,12,14, samt 18, och beskrivs i studiehandledningen. Samtliga examinationer och obligatoriska undervisningsaktiviteter ska vara godkända respektive genomförda för att kursen som helhet ska betraktas som godkänd.",vfu_assessment|oral,course_level,missing,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,1,"Seminarium, individuell bedömning",seminar,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_02,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,2,"muntlig examination, individuell",oral,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_03,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,3,"tentamen, individuell",written_exam,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_04,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,4,"klinisk färdighetsträning, individuell",practical_skills_assessment,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_05,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,5,individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång,vfu_assessment|oral,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_06,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,6,"klinisk examination, individuell",clinical_examination,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_07,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,7,"skriftlig examination, grupp med individuell bedömning",written,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_08,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,8,"skriftlig examination, individuell",written,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG403_EXAM_SECTION_09,examination_section,VGSSY,VGSSY,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik",not_applicable,not_applicable,not_applicable,9,"muntlig gruppresentation av uppgift, individuell bedömning. Närvaro under VFU krävs i den utsträckning som anges i studiehandledningen. Som en del av kursens examinationer krävs aktivt deltagande i obligatoriska undervisningsaktiviteter i kursen. Med aktivt deltagande menas att studenten bidrar med arbete, inspel och/eller egna reflektioner med relevans för uppgiften. De obligatoriska undervisningsaktiviteterna är relaterade till lärandemål 2 - 7, 10, 11, 23, 24, 26 - 29 samt 31 och beskrivs i studiehandledningen. Samtliga examinationer och obligatoriska undervisningsaktiviteter ska vara 2026-03-18 11:40 OMG403 https://edu.hig.se/docs/sv/syllabus/course/OMG403?valid-from=2026-01-19 5/7 godkända respektive genomförda för att kursen som helhet ska betraktas som godkänd.",vfu_assessment|oral,course_level,missing,Kurs4_sskgrund_OMG403.pdf,high,Semicolon-split from examination section.
VGSSY_OMG551_EXAM_SECTION_01,examination_section,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,not_applicable,not_applicable,not_applicable,1,"Seminarium, individuell bedömning",seminar,course_level,missing,Kurs5_sskgrund_OMG551.pdf,high,Semicolon-split from examination section.
VGSSY_OMG551_EXAM_SECTION_02,examination_section,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,not_applicable,not_applicable,not_applicable,2,individuell dokumenterad bedömning av VFU enligt fastställda kriterier och lärandemål med muntlig dokumenterad genomgång,vfu_assessment|oral,course_level,missing,Kurs5_sskgrund_OMG551.pdf,high,Semicolon-split from examination section.
VGSSY_OMG551_EXAM_SECTION_03,examination_section,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,not_applicable,not_applicable,not_applicable,3,"skriftlig examination, grupp med individuell bedömning",written,course_level,missing,Kurs5_sskgrund_OMG551.pdf,high,Semicolon-split from examination section.
VGSSY_OMG551_EXAM_SECTION_04,examination_section,VGSSY,VGSSY,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,not_applicable,not_applicable,not_applicable,4,"muntlig gruppresentation av uppgift, individuell bedömning",oral,course_level,missing,Kurs5_sskgrund_OMG551.pdf,high,Semicolon-split from examination section.
