outcome_id,program_uid,education_plan_uid,course_code,course_name_sv,outcome_order,outcome_category_if_stated,text_exact,verb_or_action,source_file,confidence,notes
VGSSY_MVG201_LO_01,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,1,Kunskap och förståelse,"identifiera grundläggande etiska värden, principer och begrepp",identifiera,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_02,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,2,Kunskap och förståelse,beskriva organisering av svensk hälso- och sjukvård samt omsorg,beskriva,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_03,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,3,Kunskap och förståelse,beskriva innehåll i författningar relaterade till hälso- och sjukvård samt mänskliga rättigheter,beskriva,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_04,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,4,Kunskap och förståelse,förklara vetenskapliga artiklars struktur samt kvalitativ respektive kvantitativ forskningsansats,förklara,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_05,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,5,Kunskap och förståelse,förklara grundläggande utvecklingspsykologi med fokus på den vuxna och åldrande människan 2026-03-18 11:38 MVG201 https://edu.hig.se/docs/sv/syllabus/course/MVG201?valid-from=2024-09-02 1/6,förklara,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_06,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,6,Kunskap och förståelse,redogöra för människokroppens grundläggande anatomi och fysiologi,redogöra,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_07,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,7,Kunskap och förståelse,beskriva samspel inom och mellan kroppens organsystem,beskriva,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_08,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,8,Kunskap och förståelse,"förklara grundläggande mikrobiologi, immunologi samt vårdhygienens betydelse för att förebygga infektioner",förklara,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_09,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,9,Kunskap och förståelse,beskriva miljöaspekter i relation till läkemedelsanvändning samt vanliga engångsmaterial,beskriva,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_10,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,10,Kunskap och förståelse,förklara grundläggande farmakologiska begrepp och principer,förklara,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_11,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,11,Kunskap och förståelse,förklara principerna för vetenskaplig evidens,förklara,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_12,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,12,Färdighet och förmåga,inta patientens och vårdarens perspektiv vid grundläggande omvårdnad,inta,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_13,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,13,Färdighet och förmåga,"identifiera vanliga material vid såromläggning, hjälpmedel vid urin- och avföringsinkontinens samt material vid katetrisering av urinblåsa samt läkemedels olika beredningsformer och administreringssätt",identifiera,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_14,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,14,Färdighet och förmåga,"tillämpa metoder och anvisningar i Vårdhandboken, förflyttningsteknik, puls- och blodtrycksmätning, basal hjärt- och lungräddning (HLR) för vuxen samt läkemedelsordinationer i enlighet med evidensbaserat metod- och kunskapsstöd",tillämpa,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_15,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,15,Färdighet och förmåga,visa hur kommunikation och bemötande av personer kan behöva anpassas utifrån funktioner i sinnesorganen,visa,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_16,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,16,Färdighet och förmåga,tillämpa basala hygienrutiner samt klädregler korrekt i enlighet med evidensbaserat metod- och kunskapsstöd,tillämpa,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_17,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,17,Färdighet och förmåga,beräkna dos och tillämpa sortomvandling på grundläggande nivå avseende läkemedel,beräkna,Kurs1_sskgrund_MVG201.pdf,high,
