alignment_id,module_id,course_code,module_code,learning_outcome_number,alignment_source_exact,source_file,confidence,notes
VGSSY_MVG201_MODULE_001_LO_01,VGSSY_MVG201_MODULE_001,MVG201,0001,1,"1, 12",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_001_LO_12,VGSSY_MVG201_MODULE_001,MVG201,0001,12,"1, 12",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_002_LO_02,VGSSY_MVG201_MODULE_002,MVG201,0002,2,"2, 3",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_002_LO_03,VGSSY_MVG201_MODULE_002,MVG201,0002,3,"2, 3",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_003_LO_04,VGSSY_MVG201_MODULE_003,MVG201,0003,4,4,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_004_LO_05,VGSSY_MVG201_MODULE_004,MVG201,0004,5,5,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_005_LO_06,VGSSY_MVG201_MODULE_005,MVG201,0005,6,6,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_006_LO_07,VGSSY_MVG201_MODULE_006,MVG201,0006,7,7,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_007_LO_08,VGSSY_MVG201_MODULE_007,MVG201,0007,8,8,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_008_LO_09,VGSSY_MVG201_MODULE_008,MVG201,0008,9,9,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_009_LO_10,VGSSY_MVG201_MODULE_009,MVG201,0009,10,10,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_010_LO_11,VGSSY_MVG201_MODULE_010,MVG201,0010,11,11,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_011_LO_13,VGSSY_MVG201_MODULE_011,MVG201,0011,13,"13, 14",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_011_LO_14,VGSSY_MVG201_MODULE_011,MVG201,0011,14,"13, 14",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_012_LO_15,VGSSY_MVG201_MODULE_012,MVG201,0012,15,15,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_013_LO_16,VGSSY_MVG201_MODULE_013,MVG201,0013,16,16,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_014_LO_17,VGSSY_MVG201_MODULE_014,MVG201,0014,17,17,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_015_LO_18,VGSSY_MVG201_MODULE_015,MVG201,0015,18,18-20,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_015_LO_19,VGSSY_MVG201_MODULE_015,MVG201,0015,19,18-20,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_015_LO_20,VGSSY_MVG201_MODULE_015,MVG201,0015,20,18-20,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_016_LO_21,VGSSY_MVG201_MODULE_016,MVG201,0016,21,21,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_017_LO_22,VGSSY_MVG201_MODULE_017,MVG201,0017,22,22,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_OMG401_MODULE_001_LO_01,VGSSY_OMG401_MODULE_001,OMG401,0001,1,1,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_002_LO_02,VGSSY_OMG401_MODULE_002,OMG401,0002,2,2,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_003_LO_03,VGSSY_OMG401_MODULE_003,OMG401,0003,3,3,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_004_LO_04,VGSSY_OMG401_MODULE_004,OMG401,0004,4,4,Kurs2_sskgrund_OMG401.pdf,high,
