module_id,program_uid,education_plan_uid,course_code,course_name_sv,module_order,module_code,module_name_exact,credits_hp,grading_scale,related_learning_outcomes_exact,module_description_exact,source_file,confidence,notes
VGSSY_MVG201_MODULE_001,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,1,0001,"Klinisk färdighetsträning, individuell samt seminarium, individuell bedömning (mål 1, 12)",1.0,UG,"1, 12","Klinisk färdighetsträning, individuell samt seminarium, individuell bedömning (mål 1, 12) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_002,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,2,0002,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 2, 3)",2.0,UG,"2, 3","Muntlig gruppresentation av uppgift, individuell bedömning (mål 2, 3) 2.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_003,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,3,0003,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 4)",1.0,UG,4,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 4) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_004,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,4,0004,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 5)",1.0,UG,5,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 5) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_005,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,5,0005,"Tentamen, individuell (mål 6)",5.0,UV,6,"Tentamen, individuell (mål 6) 5.0 hp UV",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_006,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,6,0006,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 7)",2.0,UG,7,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 7) 2.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_007,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,7,0007,"Tentamen, individuell (mål 8)",3.0,UV,8,"Tentamen, individuell (mål 8) 3.0 hp UV",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_008,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,8,0008,"Skriftlig examination, grupp med individuell bedömning (mål 9)",1.0,UG,9,"Skriftlig examination, grupp med individuell bedömning (mål 9) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_009,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,9,0009,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 10)",2.0,UG,10,"Muntlig gruppresentation av uppgift, individuell bedömning (mål 10) 2.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_010,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,10,0010,"Skriftlig examination, grupp med individuell bedömning (mål 11)",2.0,UV,11,"Skriftlig examination, grupp med individuell bedömning (mål 11) 2.0 hp UV MVG201 5/6 Kod Benämning Omf. Betyg",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_011,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,11,0011,"Klinisk färdighetsträning, individuell (mål 13, 14)",2.0,UG,"13, 14","Klinisk färdighetsträning, individuell (mål 13, 14) 2.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_012,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,12,0012,"Laboration, individuell (mål 15)",0.5,UG,15,"Laboration, individuell (mål 15) 0.5 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_013,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,13,0013,"Klinisk examination, individuell (mål 16)",1.0,UG,16,"Klinisk examination, individuell (mål 16) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_014,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,14,0014,"Tentamen, individuell (mål 17)",1.5,UG,17,"Tentamen, individuell (mål 17) 1.5 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_015,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,15,0015,"Skriftlig examination, individuell (mål 18-20)",3.0,UV,18-20,"Skriftlig examination, individuell (mål 18-20) 3.0 hp UV",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_016,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,16,0016,"Seminarium, individuell bedömning (mål 21)",1.0,UG,21,"Seminarium, individuell bedömning (mål 21) 1.0 hp UG",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_MODULE_017,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,17,0017,"Seminarium, individuell bedömning (mål 22)",1.0,UG,22,"Seminarium, individuell bedömning (mål 22) 1.0 hp UG MVG201 6/6",Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_OMG401_MODULE_001,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,1,0001,"Seminarium, individuell bedömning (mål 1)",0.5,UG,1,"Seminarium, individuell bedömning (mål 1) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_002,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,2,0002,"Seminarium, individuell bedömning (mål 2)",0.5,UG,2,"Seminarium, individuell bedömning (mål 2) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_003,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,3,0003,"Skriftlig examination, grupp med individuell bedömning (mål 3)",0.5,UV,3,"Skriftlig examination, grupp med individuell bedömning (mål 3) 0.5 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_004,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,4,0004,"Seminarium, individuell bedömning (mål 4)",0.5,UG,4,"Seminarium, individuell bedömning (mål 4) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_005,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,5,0005,"Seminarium, individuell bedömning (mål 5)",1.0,UG,5,"Seminarium, individuell bedömning (mål 5) 1.0 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_006,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,6,0006,"Skriftlig examination, individuell (mål 6)",1.0,UG,6,"Skriftlig examination, individuell (mål 6) 1.0 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_007,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,7,0007,"Tentamen, individuell (mål 7)",6.5,UV,7,"Tentamen, individuell (mål 7) 6.5 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_008,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,8,0008,Tentamen individuell (mål 8),0.5,UG,8,Tentamen individuell (mål 8) 0.5 hp UG,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_009,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,9,0009,"Seminarium, individuell bedömning (mål 9)",0.5,UG,9,"Seminarium, individuell bedömning (mål 9) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_010,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,10,0010,"Muntlig presentation av gruppuppgift, individuell bedömning samt skriftlig examination, grupp med individuell bedömning (mål 10)",2.0,UV,10,"Muntlig presentation av gruppuppgift, individuell bedömning samt skriftlig examination, grupp med individuell bedömning (mål 10) 2.0 hp UV OMG401 5/6 Kod Benämning Omf. Betyg",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_011,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,11,0011,"Tentamen, individuell (mål 11)",2.0,UV,11,"Tentamen, individuell (mål 11) 2.0 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_012,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,12,0012,"Seminarium, individuell bedömning (mål 12)",2.0,UV,12,"Seminarium, individuell bedömning (mål 12) 2.0 hp UV",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_013,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,13,0013,"Skriftlig examination, grupp med individuell bedömning (mål 13)",0.5,UG,13,"Skriftlig examination, grupp med individuell bedömning (mål 13) 0.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_014,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,14,0016,"Tentamen, individuell (mål 24)",1.5,UG,24,"Tentamen, individuell (mål 24) 1.5 hp UG",Kurs2_sskgrund_OMG401.pdf,high,
